"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda30","hedase30","hedtl","hedtlm","hedalc","hedact","N3","ddla","ddlase"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","15","19","1","365","100","0","365","0","0","99.7084548104956","0.291119886302732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","15","19","0","30","0","0","30","0","0","99.7084548104956","0.291119886302732","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","20","24","8","365","66.6666666666667","13.6082763487954","365","0.612557427258806","0.305339206159406","98.1623277182236","0.525593355007095",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1.5","0.844371341865037"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","20","24","4","30","33.3333333333333","13.6082763487954","30","0.612557427258806","0.305339206159406","98.1623277182236","0.525593355007095","1","8.33333333333333","7.97855923130282","25","21.650635094611","30","1","60","total","4","1.5","0.844371341865037"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","25","29","3","365","100","0","365","0","0","99.402390438247","0.34399753018142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","25","29","1","30","33.3333333333333","27.2165526975909","30","0","0","99.402390438247","0.34399753018142","1","33.3333333333333","27.2165526975909","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","30","34","1","365","25","21.650635094611","365","0.789473684210526","0.454000057161461","98.9473684210526","0.523538378057727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","30","34","0","30","0","0","30","0.789473684210526","0.454000057161461","98.9473684210526","0.523538378057727","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","35","39","1","365","12.5","11.6926793336686","365","1.71990171990172","0.644447290117418","98.034398034398","0.68808141458932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","35","39","1","30","12.5","11.6926793336686","30","1.71990171990172","0.644447290117418","98.034398034398","0.68808141458932","1","12.5","11.6926793336686","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","40","44","1","365","25","21.650635094611","365","0.77120822622108","0.443537023532424","98.9717223650386","0.511488599740732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","40","44","1","30","25","21.650635094611","30","0.77120822622108","0.443537023532424","98.9717223650386","0.511488599740732","1","25","21.650635094611","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","50","54","0","365","0","0","365","0.373134328358209","0.37243753161878","99.6268656716418","0.372437531618777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","50","54","0","30","0","0","30","0.373134328358209","0.37243753161878","99.6268656716418","0.372437531618777","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","55","59","1","365","50","35.3553390593274","365","0.483091787439614","0.481923486364294","99.0338164251208","0.679886488066106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","55","59","0","30","0","0","30","0.483091787439614","0.481923486364294","99.0338164251208","0.679886488066106","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","60","64","0","365","0","0","365","0.497512437810945","0.496273301546086","99.5024875621891","0.496273301546085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","60","64","0","30","0","0","30","0.497512437810945","0.496273301546086","99.5024875621891","0.496273301546085","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","65","69","1","365","12.5","11.6926793336686","365","3.25581395348837","1.21038350802854","96.2790697674419","1.29084018332436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","65","69","1","30","12.5","11.6926793336686","30","3.25581395348837","1.21038350802854","96.2790697674419","1.29084018332436","1","12.5","11.6926793336686","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","15","70","17","365","38.6363636363636","7.34052848078121","365","0.688073394495413","0.131963427475041","98.8786952089704","0.168092641885381",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","1.91666666666667","0.665922203378428"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","total","15","70","8","30","18.1818181818182","5.81456499151665","30","0.688073394495413","0.131963427475041","98.8786952089704","0.168092641885381","5","11.3636363636364","4.78451908136753","62.5","17.1163299220364","30","1","60","total","8","1.91666666666667","0.665922203378428"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","15","19","21","365","95.4545454545455","4.44094736781088","365","3.03030303030303","2.98403614495352","33.3333333333333","8.20609939862218",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","0.5","0.0629940788348712"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","15","19","8","30","36.3636363636364","10.2559286330503","30","3.03030303030303","2.98403614495352","33.3333333333333","8.20609939862218","0","0","0","0","0","30","1","60","total","8","0.5","0.0629940788348712"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","20","24","75","365","88.2352941176471","3.4946383869765","365","7.8740157480315","2.3899419338693","33.0708661417323","4.17473128637707",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","1.23958333333333","0.179127199328931"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","20","24","32","30","37.6470588235294","5.25514296474321","30","7.8740157480315","2.3899419338693","33.0708661417323","4.17473128637707","0","0","0","0","0","30","1","60","total","32","1.23958333333333","0.179127199328931"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","25","29","79","365","81.4432989690722","3.94722785399527","365","11.4649681528662","2.54269444394899","38.2165605095541","3.8780375838498",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","0.925925925925926","0.260954397791697"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","25","29","36","30","37.1134020618557","4.90522086010386","30","11.4649681528662","2.54269444394899","38.2165605095541","3.8780375838498","1","1.03092783505155","1.0256000069563","2.77777777777778","2.73892582550908","30","1","60","total","36","0.925925925925926","0.260954397791697"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","30","34","85","365","82.5242718446602","3.74188019424772","365","10.8433734939759","2.41326479938988","37.9518072289157","3.76640272190309",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","2.2952380952381","1.04222446049964"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","30","34","36","30","34.9514563106796","4.69821421644418","30","10.8433734939759","2.41326479938988","37.9518072289157","3.76640272190309","1","0.970873786407767","0.966149311721653","2.77777777777778","2.73892582550908","30","1","60","total","35","2.2952380952381","1.04222446049964"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","35","39","66","365","79.5180722891566","4.42975074543163","365","11.4093959731544","2.6045459494842","44.2953020134228","4.06941153083113",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","1.77450980392157","0.519327495307834"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","35","39","34","30","40.9638554216867","5.3978443836292","30","11.4093959731544","2.6045459494842","44.2953020134228","4.06941153083113","1","1.20481927710843","1.19753933567385","2.94117647058824","2.89760107689346","30","1","60","total","34","1.77450980392157","0.519327495307834"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","40","44","73","365","77.6595744680851","4.29614862188495","365","13.5483870967742","2.74893518006798","39.3548387096774","3.92402076636429",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","1.1875","0.228922156950026"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","40","44","32","30","34.0425531914894","4.88741315573229","30","13.5483870967742","2.74893518006798","39.3548387096774","3.92402076636429","0","0","0","0","0","30","1","60","total","32","1.1875","0.228922156950026"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","45","49","63","365","75.9036144578313","4.69427074288118","365","14.3884892086331","2.97691392900319","40.2877697841727","4.16016790633302",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","0.877777777777778","0.165693197944395"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","45","49","30","30","36.144578313253","5.2732871825292","30","14.3884892086331","2.97691392900319","40.2877697841727","4.16016790633302","0","0","0","0","0","30","1","60","total","30","0.877777777777778","0.165693197944395"
