"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda365","hedase365","hedtl","hedtlm","N2_12","heda_12","hedase_12","heda365_12","hedase365_12","hedtlm_12","hedalc","hedact","N3","ddla","ddlase"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","15","19","5","365","11.1111111111111","4.68485579284204",NA,NA,NA,NA,NA,"0","0","0","0","0","365","1","0","0","0","0","0","12","60","total","4","0.986301369863014","0.40820998426716"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","20","24","27","365","25.9615384615385","4.29909691641958",NA,NA,NA,NA,NA,"5","4.80769230769231","2.09774449717334","18.5185185185185","7.47567988666047","365","1","3","2.88461538461538","1.64123702333724","11.1111111111111","6.04812282168686","12","60","total","24","2.09132420091324","0.859340413113333"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","25","29","17","365","20.2380952380952","4.38372127326842",NA,NA,NA,NA,NA,"4","4.76190476190476","2.32357160225841","23.5294117647059","10.2879368493554","365","1","1","1.19047619047619","1.18336880641429","5.88235294117647","5.70672058909019","12","60","total","15","0.944657528672588","0.410811298034595"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","30","34","39","365","30.2325581395349","4.04360749432531",NA,NA,NA,NA,NA,"6","4.65116279069767","1.85414466325597","15.3846153846154","5.77744320152931","365","1","3","2.32558139534884","1.32697070269176","7.69230769230769","4.26692458634792","12","60","total","35","2.07123287671233","0.496189554932301"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","35","39","29","365","29.2929292929293","4.57399017141552",NA,NA,NA,NA,NA,"8","8.08080808080808","2.73913159733053","27.5862068965517","8.29960921123194","365","1","5","5.05050505050505","2.20087885059658","17.2413793103448","7.01445003745666","12","60","total","26","5.54689146469968","2.8242114654829"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","40","44","28","365","23.9316239316239","3.94452966350936",NA,NA,NA,NA,NA,"5","4.27350427350427","1.86988639120767","17.8571428571429","7.23788824444444","365","1","2","1.70940170940171","1.19835398768287","7.14285714285714","4.86703674192319","12","60","total","25","4.76646573837489","2.14322303477672"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","45","49","26","365","35.1351351351351","5.54957484681449",NA,NA,NA,NA,NA,"12","16.2162162162162","4.28488221360481","46.1538461538462","9.77675245080373","365","1","6","8.10810810810811","3.1730908150436","23.0769230769231","8.26286393122422","12","60","total","22","2.68692401396679","0.811525640384497"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","50","54","27","365","33.75","5.28670206745188",NA,NA,NA,NA,NA,"15","18.75","4.36382501367779","55.5555555555556","9.56292184248745","365","1","10","12.5","3.69754986443726","37.037037037037","9.29348953961828","12","60","total","25","3.23901365515304","0.675054575535751"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","55","59","10","365","15.1515151515152","4.41344897729951",NA,NA,NA,NA,NA,"1","1.51515151515152","1.5036292831784","10","9.48683298050514","365","1","1","1.51515151515152","1.5036292831784","10","9.48683298050514","12","60","total","8","2.38219177559631","0.538521461199288"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","60","64","10","365","15.625","4.53865235883682",NA,NA,NA,NA,NA,"6","9.375","3.64350744261282","60","15.4919333848297","365","1","3","4.6875","2.64213852704466","30","14.4913767461894","12","60","total","9","20.8517503433576","16.1990376735444"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","65","69","2","365","33.3333333333333","19.2450089729875",NA,NA,NA,NA,NA,"0","0","0","0","0","365","1","0","0","0","0","0","12","60","total","2","0.410958904109589","0.246575342465753"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","70","74","1","365","16.6666666666667","15.2145154862546",NA,NA,NA,NA,NA,"0","0","0","0","0","365","1","0","0","0","0","0","12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","75","79","0","365","0","0",NA,NA,NA,NA,NA,"0","0","0",NA,NA,"365","1","0","0","0",NA,NA,"12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","80","84","1","365","33.3333333333333","27.2165526975909",NA,NA,NA,NA,NA,"1","33.3333333333333","27.2165526975909","100","0","365","1","1","33.3333333333333","27.2165526975909","100","0","12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","95","99","0","365","0","0",NA,NA,NA,NA,NA,"0","0","0",NA,NA,"365","1","0","0","0",NA,NA,"12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","female","15","98","222","365","25.2272727272727","1.46408208268987",NA,NA,NA,NA,NA,"63","7.15909090909091","0.869075075390016","28.3783783783784","3.02579412437702","365","1","35","3.97727272727273","0.658776909386704","15.7657657657658","2.44582490956904","12","60","total","197","3.84885611751963","0.900219427327203"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","15","19","7","365","25","8.18317088384971",NA,NA,NA,NA,NA,"3","10.7142857142857","5.84512205989265","42.8571428571429","18.7043905916565","365","1","2","7.14285714285714","4.86703674192319","28.5714285714286","17.0746944190628","12","60","total","5","4.67945205479452","3.82258451493276"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","20","24","44","365","41.5094339622642","4.78589741230641",NA,NA,NA,NA,NA,"19","17.9245283018868","3.72544047711461","43.1818181818182","7.46737205309967","365","1","16","15.0943396226415","3.47714217075821","36.3636363636364","7.25203668379514","12","60","total","38","7.5155010814708","2.83414950134307"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","25","29","96","365","53.6312849162011","3.72730658207037",NA,NA,NA,NA,NA,"49","27.3743016759777","3.33265355993696","51.0416666666667","5.10199606624248","365","1","32","17.877094972067","2.86387534114959","33.3333333333333","4.81125224324688","12","60","total","91","10.3959054643986","1.81459592789174"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","30","34","106","365","60.5714285714286","3.69420000847598",NA,NA,NA,NA,NA,"49","28","3.39411254969543","46.2264150943396","4.84257850479393","365","1","41","23.4285714285714","3.2017487932811","38.6792452830189","4.73031224051974","12","60","total","98","6.1252446162624","0.800198548344669"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","35","39","86","365","66.6666666666667","4.1504853757646",NA,NA,NA,NA,NA,"45","34.8837209302326","4.19624980882008","52.3255813953488","5.3858035516873","365","1","33","25.5813953488372","3.84156354119119","38.3720930232558","5.24381338622352","12","60","total","78","8.47727431420238","1.70197926043998"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","40","44","111","365","63.0681818181818","3.63788667420491",NA,NA,NA,NA,NA,"60","34.0909090909091","3.57302140609943","54.0540540540541","4.73016450747848","365","1","43","24.4318181818182","3.23885157687138","38.7387387387387","4.62385510037239","12","60","total","97","7.71162263061886","1.15986559813547"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","45","49","111","365","62.7118644067797","3.63474173446915",NA,NA,NA,NA,NA,"64","36.1581920903955","3.61134774112222","57.6576576576577","4.68980135501842","365","1","45","25.4237288135593","3.27290442255125","40.5405405405405","4.66008412205598","12","60","total","100","5.29572599855188","0.766435943099182"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","50","54","96","365","58.8957055214724","3.8538216418365",NA,NA,NA,NA,NA,"51","31.2883435582822","3.63172280198711","53.125","5.09312687906457","365","1","30","18.4049079754601","3.03532389793973","31.25","4.73070367827733","12","60","total","90","5.76286147304866","0.964305119638301"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","55","59","79","365","67.5213675213675","4.32938842148779",NA,NA,NA,NA,NA,"41","35.042735042735","4.41082606077886","51.8987341772152","5.62138188394254","365","1","26","22.2222222222222","3.84351497527978","32.9113924050633","5.28669154332429","12","60","total","73","8.44391067284405","1.45319524926901"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","60","64","62","365","59.0476190476191","4.79894888250012",NA,NA,NA,NA,NA,"33","31.4285714285714","4.53042838384053","53.2258064516129","6.33677715574409","365","1","26","24.7619047619048","4.21227067907993","41.9354838709677","6.26686573357484","12","60","total","51","9.38383024032802","2.36166342089342"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","65","69","7","365","46.6666666666667","12.8812237743906",NA,NA,NA,NA,NA,"3","20","10.3279555898864","42.8571428571429","18.7043905916565","365","1","2","13.3333333333333","8.77707451472511","28.5714285714286","17.0746944190628","12","60","total","7","7.77690802348337","7.03843898836854"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","70","74","5","365","45.4545454545455","15.0131422517231",NA,NA,NA,NA,NA,"2","18.1818181818182","11.6291299830333","40","21.9089023002066","365","1","2","18.1818181818182","11.6291299830333","40","21.9089023002066","12","60","total","4","1.97260273972603","0.8381949885358"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","75","79","1","365","25","21.650635094611",NA,NA,NA,NA,NA,"0","0","0","0","0","365","1","0","0","0","0","0","12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","80","84","0","365","0","0",NA,NA,NA,NA,NA,"0","0","0",NA,NA,"365","1","0","0","0",NA,NA,"12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","90","94","0","365","0","0",NA,NA,NA,NA,NA,"0","0","0",NA,NA,"365","1","0","0","0",NA,NA,"12","60","total",NA,NA,NA
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","male","15","98","811","365","58.3453237410072","1.32229242068348",NA,NA,NA,NA,NA,"419","30.1438848920863","1.23081966396185","51.6646115906289","1.75476419255064","365","1","298","21.4388489208633","1.10077168779819","36.7447595561036","1.69291648214108","12","60","total","733","7.46438915705596","0.467905111739943"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","total","15","19","12","365","16.4383561643836","4.33781723888433",NA,NA,NA,NA,NA,"3","4.10958904109589","2.32340734085663","25","12.5","365","1","2","2.73972602739726","1.91055648507569","16.6666666666667","10.7582870727984","12","60","total","9","3.03805175038052","2.1231278205869"
"Nigeria","NGA","566","GENACIS-GENAHTO team’","Face to face","unknown","0.99","CAMH/GMEL","2012.5","total","20","24","71","365","33.8095238095238","3.26443204476428",NA,NA,NA,NA,NA,"24","11.4285714285714","2.19549853104156","33.8028169014084","5.61393043463663","365","1","19","9.04761904761905","1.97954118581514","26.7605633802817","5.25401065531565","12","60","total","62","5.41581970835175","1.7911864855801"
